Year,Citation
2020,1030
2020,1965
2020,74
2020,154
2020,478
2020,39
2021,6
2020,82
2020,61
2020,51
2020,60
2020,48
2020,45
2020,3
2020,897
2020,2
2020,2
2021,2
2020,135
2020,22
2020,34
2020,70
2020,83
2020,333
2021,2
2020,137
2021,730
2021,5
2020,2
2021,2
2021,33
2021,73
2020,26
2021,14
2021,27
2020,9
2020,10
2021,92
2021,31
2021,246
2021,20
2021,11
2021,55
2021,66
2021,32
2021,81
2021,26
2021,19
2021,33
2021,18
2021,9
2021,15
2021,15
2021,13
2021,32
2021,38
2021,2
2021,519
2021,657
2021,477
2021,494
2021,392
2019,198
2019,14
2019,39
2019,15
2019,16
2019,15
2019,12
2019,6
2019,9
2019,9
2019,10
2019,29
2019,4
2019,11
2019,6
2019,5
2019,20
2019,11
2019,6
2019,7
